district;Bevölkerung;Unter 18-Jährige;Anteil der unter 18-Jährigen in %; 65-Jährige und Ältere;Anteil der 65-Jährigen und Älteren in %;Ausländer: innen;Anteil der Ausländer: innen in %;Bevölkerung mit Migrations-hintergrund;Anteil der Bevölkerung mit Migrations-hintergrund in %;Unter 18-Jährige mit Migrations-hintergrund;Anteil der unter 18-Jährigen mit Migrations-hintergrund in %;Haushalte;Personen je Haushalt;Einpersonen-haushalte;Anteil der Einpersonen-haushalte in %;Haushalte mit Kindern;Anteil der Haushalte mit Kindern in %;Allein-erziehende;Anteil der Haushalte von Allein-erziehenden in %;Fläche in km²;Bevölkerungs-dichte;Geburten;Sterbefälle;Zuzüge;Fortzüge;Wanderungs-saldo;Sozialver-sicherungs-pflichtig Beschäftigte (Dez 2022);Beschäftigten-quote in % (Dez 2022);Arbeitslose (Dez 2022);Arbeitslosen-anteil in % (Dez 2022);Jüngere Arbeitslose (Dez 2022);Arbeitslosen-anteil Jüngerer in % (Dez 2022);Ältere Arbeitslose (Dez 2022);Arbeitslosen-anteil Älterer in % (Dez 2022);Leistungs-empfänger: innen nach SGB II (Dez 2022);Anteil der Leistungs-empfänger: innen nach SGB II in % (Dez 2022);Unter 15-Jährige in Mindest-sicherung (Dez 2022);Anteil der unter 15-Jährigen in Mindest-sicherung in % (Dez 2022);Bedarfs-gemein-schaften nach SGB II (Dez 2022);Empfänger:innen von Grund-sicherung im Alter der 65-Jährigen und Älteren;in % der 65-Jährigen und Älteren;Wohn-gebäude (2022);Wohnungen (2022);Bezugsfertige Wohnungen (2022);Wohnungen in Ein- und Zweifamilien-häusern (2022);Anteil der Wohnungen in Ein- und Zweifamilien-häusern in % (2022);Wohnungs-größe in m² (2022);Wohnfläche je Einwohner:in in m² (2022);Sozial-wohnungen (Jan 2023);Sozial-wohnungs-anteil in % (Jan 2023);Sozial-wohnungen mit Bindungs-auslauf bis 2028;Sozial-wohnungen mit Bindungs-auslauf bis 2028 in %;Preise für Grundstücke in EUR/m² (Jan 2023);Preise für Ein- bzw Zwei-familien-häuser in EUR/m² (Jan 2023);Preise für Eigentums-wohnungen in EUR/m² (Jan 2023);Kindergärten und Vorschul-klassen (März 2023);Grundschulen (2022/2023);Schüler:innen der Sekundar-stufe I (2022/2023);Anteil der Schüler:innen in Stadtteil-schulen in % (2022/2023);Anteil der Schüler:innen in Gymnasien in % (2022/2023);Nieder-gelassene Ärztinnen/Ärzte (Jan 2023);Allgemein-ärztinnen/-ärzte (Jan 2023);Zahn-ärztinnen/-ärzte (Dez 2022);Apotheken (Dez 2022);Private PKW (Jan 2023);PKW-Dichte (Jan 2023);Elektro-PKW  (Jan 2023)
Hamburg-Altstadt;3 182;515;16,2;316;9,9;1 349;42,4;1 896;59,5;424;82;1 884;1,7;1 057;56,1;255;13,5;69;27,1;1,3;2 447;30;16;1 444;639;805;1 346;55,6;324;13,4;35;10,9;65;18,4;836;26,3;214;48,3;449;46;14,6;103;1 487;63;17;1,1;74,1;34,6;176;11,8;25;14,2;2 366;.    ;4 869;1;-    ;127;52;45,7;231;48;75;10;599;188;677
HafenCity;6 950;1 386;19,9;644;9,3;978;14,1;2 758;39,8;769;56,1;3 183;2,2;1 126;35,4;841;26,4;119;14,1;2,4;2 865;111;22;1 373;808;565;3 087;61,6;147;2,9;11;1,8;17;2,9;344;4,9;121;9,4;163;28;4,3;141;3 898;687;5;0,1;81,4;45,7;1 074;27,6;9;0,8;3 031;.    ;10 746;5;2;221;32,1;64,7;16;6;6;1;1 809;260;371
Neustadt;12 649;1 412;11,2;1 919;15,2;2 581;20,4;4 724;37,4;673;47,8;8 683;1,5;5 994;69;954;11;286;30;2,3;5 592;104;85;1 684;1 617;67;6 350;66,9;493;5,2;21;2,2;113;6,7;864;6,8;132;10,7;609;318;16,6;652;7 700;50;70;0,9;63,1;38,4;992;12,9;143;14,4;2 304;.    ;8 240;12;1;340;39,7;56,5;205;20;83;8;3 064;242;754
St. Pauli;22 056;2 941;13,3;2 270;10,3;4 991;22,6;8 488;38,4;1 458;49,4;14 772;1,5;10 184;68,9;1 898;12,8;665;35;2,2;9 836;177;162;2 986;2 649;337;9 903;57,2;1 535;8,9;87;4,4;312;11;3 253;14,7;705;28,6;2 012;545;24;1 293;12 667;7;173;1,4;64,2;36,9;1 522;12;300;19,7;1 998;.    ;7 716;17;1;907;49,6;46,2;44;12;15;6;4 453;202;219
St. Georg;12 318;1 420;11,5;1 676;13,6;3 494;28,4;5 362;43,7;866;61,7;7 720;1,6;5 043;65,3;862;11,2;219;25,4;1,8;6 758;120;103;2 906;2 022;884;5 424;57,6;659;7;54;4,3;119;7,4;1 394;11,3;282;22,9;861;291;17,4;561;6 444;4;63;1;71,1;37,2;764;11,9;151;19,8;1 996;.    ;7 961;9;1;356;38,2;60,7;89;36;17;7;2 418;196;163
Hammerbrook;5 990;772;12,9;192;3,2;2 256;37,7;3 427;58;636;85,5;3 016;1,8;1 580;52,4;428;14,2;106;24,8;2,5;2 400;74;9;2 007;1 296;711;3 157;61,8;397;7,8;39;3,6;47;15,6;939;15,7;270;39;523;64;33,3;111;3 004;355;7;0,2;55,9;28;783;26,1;-    ;-    ;918;.    ;6 702;6;-    ;144;63,2;31,3;1;-    ;7;-    ;890;149;1 642
Borgfelde;8 569;1 160;13,5;922;10,8;3 273;38,2;4 600;53,7;900;78,4;4 413;1,5;2 943;66,7;482;10,9;125;25,9;0,8;10 426;98;51;1 843;1 600;243;3 882;58,5;466;7;40;3;75;9,8;1 409;16,4;440;43,5;667;147;15,9;393;4 458;58;47;1,1;56,1;29,2;338;7,6;-    ;-    ;1 021;.    ;5 952;3;-    ;306;62,4;31,7;3;2;4;1;1 678;196;65
Hamm;38 720;4 645;12;5 139;13,3;8 261;21,3;15 518;40,1;2 983;64,6;26 038;1,5;17 738;68,1;2 955;11,3;959;32,5;3,9;9 957;405;331;5 446;4 840;606;20 192;68,3;1 735;5,9;135;3,4;292;6,7;4 008;10,4;970;24,1;2 368;669;13;2 331;23 629;36;261;1,1;58,8;35,9;1 324;5,6;393;29,7;859;3 148;5 466;16;2;1 205;57,5;38,8;20;5;27;7;9 906;256;152
Horn;38 425;6 210;16,2;5 709;14,9;11 249;29,3;21 726;56,4;4 802;77,4;22 621;1,7;13 437;59,4;3 684;16,3;1 262;34,3;5,9;6 515;396;382;5 036;4 225;811;16 617;60,5;2 055;7,5;147;3;402;8,7;5 953;15,5;1 682;32,1;3 100;914;16;2 819;19 813;247;1 020;5,1;61,3;31,6;2 304;11,6;430;18,7;717;4 622;4 127;14;5;1 858;66,1;30,5;42;25;14;5;10 027;261;73
Billstedt;71 789;14 019;19,5;13 092;18,2;21 117;29,4;45 035;62,7;11 222;80,3;35 656;2;17 105;48;7 591;21,3;2 437;32,1;16,9;4 242;705;739;6 615;5 517;1 098;27 017;57,4;4 074;8,7;385;4,5;679;7,2;13 571;18,9;4 119;35,4;6 339;2 067;15,8;8 166;32 358;279;6 428;19,9;72,7;32,8;5 117;15,8;3 151;61,6;712;4 621;4 089;27;8;4 633;69,9;26,6;95;48;35;10;22 344;311;254
